id,code_number,description,add_entry
"combined_nom_1063910",1063910,"Piccioni, vivi","Numero dei pezzi"
"combined_nom_1063990",1063990,"Uccelli vivi (escl. uccelli rapaci e psittaformici ""compresi i pappagalli, cocorite, are e cacatua"", nonche' piccioni)",
"combined_nom_1069000",1069000,"Animali vivi (escl. mammiferi, rettili, uccelli, pesci, crostacei, molluschi ed altri invertebrati acquatici nonche' colture di microorganismi e simili)",
"combined_nom_2000000",2000000,"Merci del capitolo 02 al di sotto della soglia di assimilazione",
"combined_nom_2011000",2011000,"Carcasse o mezzene, di bovini, fresche o refrigerate",
"combined_nom_2012020",2012020,"Quarti detti ""compensati"", di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012030",2012030,"Busti e quarti anteriori, di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012050",2012050,"Selle e quarti posteriori, di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012090",2012090,"Carni di bovini (non disossate) fresche o refrigerate (escl. carcasse, mezzene, quarti compensati, busti, quarti anteriori, selle, quarti posteriori)",
"combined_nom_2013000",2013000,"Carni di bovini, disossate, fresche o refrigerate",
"combined_nom_2021000",2021000,"Carcasse o mezzene di bovini, congelate",
"combined_nom_2022010",2022010,"Quarti compensati di bovini (non disossati) congelati",
"combined_nom_2022030",2022030,"Busti e quarti anteriori di bovini, non disossati, congelati",
"combined_nom_2022050",2022050,"Selle e quarti posteriori di bovini, non disossati, congelati",
"combined_nom_2022090",2022090,"Carni di bovini (non disossate) congelate (escl. carcasse, mezzene, quarti compensati, busti, quarti anteriori, selle, quarti posteriori)",
"combined_nom_2023010",2023010,"Quarti anteriori, interi o fino a 5 pezzi in unico blocco di congelazione; quarti ""compensati"" in due blocchi di congelazione contenenti uno il quarto anteriore intero o massimo in 5 pezzi e l'altro il quarto posteriore, senza filetto, in pezzo unico",
"combined_nom_2023050",2023050,"Tagli di quarti anteriori e di punta di petto di bovini, disossati e congelati",
"combined_nom_2023090",2023090,"Carni di bovini, disossate, congelate (escl. quarti anteriori interi o tagliati al massimo in cinque pezzi, ogni quarto in un solo blocco di congelazione; quarti compensati in due blocchi di congelazione contenenti l'uno, il quarto anteriore intero o",
"combined_nom_2031110",2031110,"Carcasse o mezzene di suidi domestici, fresche o refrigerate",
"combined_nom_2031190",2031190,"Carcasse o mezzene di suidi (non domestici) fresche o refrigerate",
"combined_nom_2031211",2031211,"Prosciutti e loro pezzi, non disossati, di suini domestici, freschi o refrigerati",
"combined_nom_2031219",2031219,"Spalle e loro pezzi, non disossate, di suini domestici, fresche o refrigerate",
"combined_nom_2031290",2031290,"Prosciutti, spalle e loro pezzi, di suidi (non domestici) (non disossati) freschi o refrigerati",
"combined_nom_2031911",2031911,"Parti anteriori e loro pezzi, di suidi domestici, freschi o refrigerati",
"combined_nom_2031913",2031913,"Lombate e loro pezzi, di suini domestici, fresche o refrigerate",
"combined_nom_2031915",2031915,"Pancette e loro pezzi, di suini domestici, fresche o refrigerate",
"combined_nom_2031955",2031955,"Carni di suidi domestici, disossate, fresche o refrigerate (escl. pancette ""ventresche"" e loro pezzi)",
"combined_nom_2031959",2031959,"Carni di suidi domestici (non disossate) fresche o refrigerate (escl. carcasse, mezzene, nonchè prosciutti, spalle, parti anteriori, lombate, pancette ""ventresche"", e loro pezzi)",
"combined_nom_2031990",2031990,"Carni di suidi (non domestici) (non disossate) fresche o refrigerate (escl. carcasse, mezzene, nonchè prosciutti, spalle, e loro pezzi)",
"combined_nom_2032110",2032110,"Carcasse o mezzene di suidi domestici, congelate",
"combined_nom_2032190",2032190,"Carcasse o mezzene di suidi (non domestici) congelate",
"combined_nom_2032211",2032211,"Prosciutti e loro pezzi, non disossati, di suini domestici, congelati",
"combined_nom_2032219",2032219,"Spalle e loro pezzi, non disossate, di suini domestici, congelate",
"combined_nom_2032290",2032290,"Prosciutti, spalle e loro pezzi, di suidi (non domestici) (non disossati) congelati",
"combined_nom_2032911",2032911,"Parti anteriori e loro pezzi, di suidi domestici, congelati",
"combined_nom_2032913",2032913,"Lombate e loro pezzi, di suidi domestici, congelati",
"combined_nom_2032915",2032915,"Pancette e loro pezzi di suini domestici, congelate",
"combined_nom_2032955",2032955,"Carni di suidi domestici, disossate, congelate (escl. pancette ""ventresche"" e loro pezzi)",
"combined_nom_2032959",2032959,"Carni di suidi domestici (non disossate) congelate (escl. carcasse, mezzene nonchè prosciutti, spalle, parti anteriori, lombate, pancette ""ventresche"", e loro pezzi)",
"combined_nom_2032990",2032990,"Carni di suidi (non domestici) congelate (escl. carcasse, mezzene, nonchè prosciutti, spalle, e loro pezzi)",
"combined_nom_2041000",2041000,"Carcasse o mezzene, di agnello, fresche o refrigerate",
"combined_nom_2042100",2042100,"Carcasse o mezzene, di ovini, fresche o refrigerate (escl. agnelli)",
"combined_nom_2042210",2042210,"Busto o mezzo busto, non disossati, di ovini, freschi o refrigerati",
"combined_nom_2042230",2042230,"Costata e/o sella, mezza costata e/o mezza sella, non disossate, di ovini, fresche o refrigerate",
"combined_nom_2042250",2042250,"Coscia o mezza coscia, non disossate, di ovini, fresche o refrigerate",
"combined_nom_2042290",2042290,"Carni di ovini (non disossate) fresche o refrigerate (escl. carcasse, mezzene, busto, mezzo busto, costata e/o sella, mezza costata e/o mezza sella, coscia o mezza coscia)",
"combined_nom_2042300",2042300,"Carni ovine disossate, fresche o refrigerate",
"combined_nom_2043000",2043000,"Carcasse o mezzene, di agnello, congelate",
"combined_nom_2044100",2044100,"Carcasse o mezzene, di ovini, congelate (escl. agnelli)",
"combined_nom_2044210",2044210,"Busto, mezzo busto, non disossati, di ovini, congelati",
"combined_nom_2044230",2044230,"Costata e/o sella, mezza costata e/o mezza sella, non disossate, di ovini, congelate",
"combined_nom_2044250",2044250,"Coscia o mezza coscia, non disossate, di ovini, congelate",
"combined_nom_2044290",2044290,"Carni di ovini (non disossate) congelate (escl. carcasse, mezzene, busto, mezzo busto, costata e/o sella, mezza costata e/o mezza sella, coscia, mezza coscia)",
"combined_nom_2044310",2044310,"Carni di agnello, disossate, congelate",
"combined_nom_2044390",2044390,"Carni ovine disossate, congelate, escluse quelle di agnello",
"combined_nom_2045011",2045011,"Carcasse o mezzene, di caprini, fresche o refrigerate",
"combined_nom_2045013",2045013,"Busto o mezzo busto, di caprini, freschi o refrigerati",
"combined_nom_2045015",2045015,"Costata e/o sella, mezza costata e/o mezza sella di caprini, fresche o refigerate",
"combined_nom_2045019",2045019,"Coscia o mezza coscia, di caprini, fresche o refrigerate",
"combined_nom_2045031",2045031,"Carni di caprini (non disossate) fresche o refrigerate (escl. carcasse ,mezzene, busto, mezzo busto, costata e/o sella, mezza costata e/o mezza sella, coscia, mezza coscia)",
"combined_nom_2045039",2045039,"Carni di caprini, disossate, fresche o refrigerate",
"combined_nom_2045051",2045051,"Carcasse o mezzene, di caprini, congelate",
"combined_nom_2045053",2045053,"Busto o mezzo busto, di caprini, congelati",
"combined_nom_2045055",2045055,"Costata e/o sella, mezza costata e/o mezza sella, di caprini, congelate",
"combined_nom_2045059",2045059,"Coscia o mezza coscia, di caprini, congelate",
"combined_nom_2045071",2045071,"Carni di caprini (non disossate) congelate (escl.carcasse, mezzene, busto, mezzo busto, costata e/o sella, mezza costata e/o mezza sella, coscia, mezza coscia)",
"combined_nom_2045079",2045079,"Carni di caprini, disossate, congelate",
"combined_nom_2050020",2050020,"Carni equine, asinine o mulesche, fresche o refrigerate",
"combined_nom_2050080",2050080,"Carni equine, asinine o mulesche, congelate",
"combined_nom_2061010",2061010,"Frattaglie di bovini, commestibili, fresche o refrigerate, destinate alla fabbricazione di prodotti farmaceutici",
"combined_nom_2061091",2061091,"Fegato di bovini, fresco o refrigerato",
"combined_nom_2061095",2061095,"Pezzi di frattaglie bovine detti ""onglets"" e ""hampes"", freschi o refrigerati",
"combined_nom_2061099",2061099,"Frattaglie di bovini, commestibili, fresche o refrigerate (escl. quelle destinate alla fabbricazione di prodotti farmaceutici, nonchè fegati e pezzi detti ""onglets"" e ""hampes"")",
"combined_nom_2062100",2062100,"Lingue di bovini, congelate",
"combined_nom_2062200",2062200,"Fegati di bovini, commestibili, congelati",
"combined_nom_2062910",2062910,"Frattaglie di bovini, commestibili, congelate, destinate alla fabbricazione di prodotti farmaceutici (escl. lingue e fegati)",
"combined_nom_2062991",2062991,"Pezzi di frattaglie bovine detti ""onglets"" e ""hampes"", congelati",
"combined_nom_2062999",2062999,"Frattaglie di bovini, commestibili, congelate (escl. quelle destinate alla fabbricazione di prodotti farmaceutici, nonchè fegati, lingue e pezzi detti ""onglets"" e ""hampes"")",
"combined_nom_2063000",2063000,"Frattaglie di suidi, commestibili, fresche o refrigerate",
"combined_nom_2064100",2064100,"Fegati di suidi, commestibili, congelati",
"combined_nom_2064920",2064920,"Frattaglie di suidi domestici, commestibili, congelate (escl. fegati)",
"combined_nom_2064980",2064980,"Frattaglie di suidi (non domestici) commestibili, congelate (escl. fegati)",
"combined_nom_2068010",2068010,"Frattaglie ovine, caprine, equine, asinine o mulesche, commestibili, fresche o refrigerate, destinate alla fabbricazione di prodotti farmaceutici",
"combined_nom_2068091",2068091,"Frattaglie equine, asinine o mulesche, commestibili, fresche o refrigerate (escl. quelle destinate alla fabbricazione di prodotti farmaceutici)",
"combined_nom_2068099",2068099,"Frattaglie ovine e caprine, fresche o refrigerate, diverse da quelle per la fabbricazione di prodotti farmaceutici",
"combined_nom_2069010",2069010,"Frattaglie ovine, caprine, equine, asinine o mulesche, commestibili, congelate, destinate alla fabbricazione di prodotti farmaceutici",
"combined_nom_2069091",2069091,"Frattaglie equine, asinine o mulesche, commestibili, congelate (escl. quelle destinate alla fabbricazione di prodotti farmaceutici)",
"combined_nom_2069099",2069099,"Frattaglie ovine o caprine, commestibili, congelate (escl. quelle destinate alla fabbricazione di prodotti farmaceutici)",
"combined_nom_2071110",2071110,"Galli e galline ""pollame domestico"" presentati spennati, senza intestini, con la testa e le zampe, detti ""polli 83%"" interi, freschi o refrigerati (escl. tacchini, tacchine e faraone)",
"combined_nom_2071130",2071130,"Galli e galline ""pollame domestico"" presentati spennati, svuotati, senza la teste e le zampe, con il collo, il cuore, il fegato, il ventriglio, detti ""polli 70%"" interi, freschi o refrigerati (escl. tacchini, tacchine e faraone)",
"combined_nom_2071190",2071190,"Galli e galline ""pollame domestico"" presentati spennati, svuotati, senza la testa e le zampe, senza il collo, il cuore, il fegato e il ventriglio, detti ""polli 65%"", o altrimenti presentati, interi, freschi o refrigerati (escl. ""polli 83%"" e ""polli 7",
"combined_nom_2071210",2071210,"Galli e galline ""pollame domestico"" presentati spennati, svuotati senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti ""polli 70%"", interi, congelati (escl. tacchini, tacchine e faraone)",
"combined_nom_2071290",2071290,"Galli e galline ""pollame domestico"" presentati, spennati, svuotati, senza la testa e le zampe e senza il collo, il cuore, il fegato e il ventriglio detti ""polli 65%"", o altrimenti presentati, interi,congelati (escl. tacchini, tacchine e faraone)",
"combined_nom_2071310",2071310,"Pezzi di galli o galline ""pollame domestico"" disossati, freschi o refrigerati (escl. pezzi di tacchini, tacchine e faraone)",
"combined_nom_2071320",2071320,"Metà o quarti di galli o galline ""pollame domestico"", freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071330",2071330,"Ali intere di galli o galline ""pollame domestico"" anche senza punta, fresche o refrigerate (escl. quelle di tacchini, tacchine e faraone)",
"combined_nom_2071340",2071340,"Dorsi, colli, dorsi con colli, codrioni, punte di ali di galli o galline ""pollame domestico"" freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071350",2071350,"Petti e loro pezzi di galli o galline ""pollame domestico"", non disossati, freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071360",2071360,"Cosce e loro pezzi di galli o galline ""pollame domestico"", non disossati, freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071370",2071370,"Pezzi di galli o galline ""pollame domestico"", non disossati, freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone, nonchè metà, quarti, ali intere, anche senza punta, dorsi, colli, dorsi con colli, codrioni, punte di ali, nonchè petti,",
"combined_nom_2071391",2071391,"Fegati di galli o galline ""pollame domestico"" commestibili, freschi o refrigerati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071399",2071399,"Frattaglie di galli o galline ""pollame domestico"" commestibili, fresche o refrigerate (escl. quelle di tacchini, tacchine e faraone, nonchè fegati)",
"combined_nom_2071410",2071410,"Pezzi di galli o galline ""pollame domestico"" disossati, congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071420",2071420,"Metà o quarti di galli o galline ""pollame domestico"" congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071430",2071430,"Ali intere, anche senza punta, di galli o galline ""pollame domestico"" congelate (escl. quelle di tacchini, tacchine e faraone)",
"combined_nom_2071440",2071440,"Dorsi, colli, dorsi con colli, codrioni, punte di ali di di galli o galline ""pollame domestico"" congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071450",2071450,"Petti e loro pezzi di galli o galline ""pollame domestico"", non disossati, congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071460",2071460,"Cosce e loro pezzi di galli o galline ""pollame domestico"", non disossati, congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071470",2071470,"Pezzi di galli o galline ""pollame domestico"", non disossati, congelati (escl. quelli di tacchini, tacchine e faraone nonchè metà, quarti, ali intere, anche senza punta, dorsi, colli, dorsi con colli,codrioni, punte di ali, petti o cosce e loro pezzi)",
"combined_nom_2071491",2071491,"Fegati di galli o galline ""pollame domestico"" commestibili, congelati (escl. quelli di tacchini, tacchine e faraone)",
"combined_nom_2071499",2071499,"Frattaglie di galli o galline ""pollame domestico"" commestibili, congelate (escl. quelle di tacchini, tacchine e faraone nonchè i fegati)",
"combined_nom_2072410",2072410,"Tacchini e tacchine ""pollame domestico"" presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti ""tacchini 80%"" interi, freschi o refrigerati",
"combined_nom_2072490",2072490,"Tacchini e tacchine ""pollame domestico"" presentati spennati, svuotati, senza la testa, il collo e le zampe, e senza il cuore,il fegato e il ventriglio, detti ""tacchini 73%"" o altrimenti presentati, interi, freschi o refrigerati (escl. ""tacchini 80%"")",
"combined_nom_2072510",2072510,"Tacchini e tacchine ""pollame domestico"" presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti ""tacchini 80%"" interi, congelati",
"combined_nom_2072590",2072590,"Tacchini e tacchine ""pollame domestico"" presentati spennati, svuotati, senza la testa, il collo e le zampe e senza il cuore, il fegato e il ventriglio, detti ""tacchini 73%"", o altrimenti presentati, interi, congelati (escl. ""tacchini 80%"")",
"combined_nom_2072610",2072610,"Pezzi di tacchini o tacchine ""pollame domestico"" disossati, freschi o refrigerati",
"combined_nom_2072620",2072620,"Metà o quarti di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2072630",2072630,"Ali intere di tacchini e tacchine ""pollame domestico"" anche senza punta (non disossate) fresche o refrigerate",
"combined_nom_2072640",2072640,"Dorsi, colli, dorsi con colli, codrioni, punte di ali di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2072650",2072650,"Petti e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2072660",2072660,"Fusi ""coscette"" e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2072670",2072670,"Coscie e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2072680",2072680,"Pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) freschi o refrigerati (escl. metà, quarti, ali intere, anche senza punta, dorsi, colli, dorsi con colli, codrioni, punte di ali, nonchè petti, fusi, coscie, e loro pezzi)",
"combined_nom_2072691",2072691,"Fegati di tacchini o tacchine ""pollame domestico"" commestibili, freschi o refrigerati",
"combined_nom_2072699",2072699,"Frattaglie di tacchini o tacchine ""pollame domestico"" commestibili, fresche o refrigerate (escl. i fegati)",
"combined_nom_2072710",2072710,"Pezzi di tacchini o tacchine ""pollame domestico"" disossati, congelati",
"combined_nom_2072720",2072720,"Metà o quarti di tacchini o tacchine ""pollame domestico"", congelati",
"combined_nom_2072730",2072730,"Ali intere, anche senza punta, di tacchini o tacchine ""pollame domestico"" congelate",
"combined_nom_2072740",2072740,"Dorsi, colli, dorsi con colli, codrioni, punte di ali di tacchini o tacchine ""pollame domestico"" congelati",
"combined_nom_2072750",2072750,"Petti e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) congelati",
"combined_nom_2072760",2072760,"Fusi e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) congelati",
"combined_nom_2072770",2072770,"Coscie e loro pezzi di tacchini o tacchine ""pollame domestico"" (non disossati) congelati",
"combined_nom_2072780",2072780,"Pezzi di tacchini o di tacchine ""pollame domestico"", non disossati, congelati (escl. ali intere anche senza punta, dorsi, colli, dorsi con colli, codrioni, punte di ali, nonchè petti, fusi, coscie, eloro pezzi)",
"combined_nom_2072791",2072791,"Fegati di tacchini o tacchine ""pollame domestico"" commestibili, congelati",
"combined_nom_2072799",2072799,"Frattaglie di tacchini o tacchine ""pollame domestico"" commestibili, congelate (escl. i fegati)",
"combined_nom_2073211",2073211,"Anatre ""pollame domestico"" presentate spennate, dissanguate (non svuotate) e senza intestini con la testa e le zampe, dette ""anatre 85%"" intere, fresche o refrigerate",
"combined_nom_2073215",2073215,"Anatre ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, dette ""anatre 70%"" intere, fresche o refrigerate",
"combined_nom_2073219",2073219,"Anatre ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe, e senza il collo, il cuore, il fegato e il ventriglio, dette ""anatre 63%"", o altrimenti presentate, intere, fresche o refrigerate (escl. ""anatre 85%"" e ""anatre 70%"")",
"combined_nom_2073251",2073251,"Oche ""pollame domestico"" presentate spennate, dissanguate, (non svuotate) con la testa e le zampe, dette ""oche 82%"" intere, fresche o refrigerate",
"combined_nom_2073259",2073259,"Oche ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe, con o senza il cuore ed il ventriglio, dette ""oche 75%"", o altrimenti presentate, intere, fresche o refrigerate (escl. ""oche 82%"")",
"combined_nom_2073290",2073290,"Faraone ""pollame domestico"" intere, fresche o refrigerate",
"combined_nom_2073311",2073311,"Anatre ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, dette ""anatre 70%"" intere, congelate",
"combined_nom_2073319",2073319,"Anatre ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe e senza il collo, il cuore, il fegato e il ventriglio, dette ""anatre 63%"", o altrimenti presentate, intere, congelate (escl. ""anatre 70%"")",
"combined_nom_2073351",2073351,"Oche ""pollame domestico"" presentate spennate, dissanguate, (non svuotate) con la testa e le zampe, dette ""oche 82%"" intere, congelate",
"combined_nom_2073359",2073359,"Oche ""pollame domestico"" presentate spennate, svuotate, senza la testa e le zampe, con o senza il cuore e il ventriglio, dette ""oche 75%"", o altrimenti presentate, intere, congelate (escl. ""oche 82%"")",
"combined_nom_2073390",2073390,"Faraone ""pollame domestico"" intere, congelate",
"combined_nom_2073410",2073410,"Fegati grassi di oche ""volatili delle specie domestiche"", commestibili, freschi o refrigerati",
