"abi","cab","id","name","street","zip","country:id"
"06040","40810","base.0604040810","CARISPAQ - CASSA DI RISPARMIO DELLA PROVINCIA DELL'AQUILA S.P.A.","PIAZZA DUCA DEGLI ABRUZZI  ANG.  VIA FABIO FILZI","67069","base.it"
"03069","40810","base.0306940810","INTESA SANPAOLO S.P.A.","VIA ROMA, 34","67069","base.it"
"03069","40811","base.0306940811","INTESA SANPAOLO S.P.A.","VIA ROMA, 34","67069","base.it"
"01010","40810","base.0101040810","BANCO DI NAPOLI SPA","VIA ROMA, 34","67069","base.it"
"05384","40810","base.0538440810","BANCA POPOLARE DELLA MARSICA S.P.A.","PIAZZA DUCA DEGLI ABRUZZI, 36","67069","base.it"
"01025","40810","base.0102540810","SANPAOLO IMI S.P.A.","VIA ROMA, 34","67069","base.it"
"03400","40810","base.0340040810","BANCA TOSCANA S.P.A. (IN FORMA ABBREVIATA BT S.P.A.)","PIAZZA DUCA DEGLI ABRUZZI, 37","67069","base.it"
"05387","40810","base.0538740810","BPER BANCA S.P.A.","PIAZZA DUCA DEGLI ABRUZZI  ANG.  VIA FABIO FILZI","67069","base.it"
"01030","40810","base.0103040810","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","PIAZZA DUCA DEGLI ABRUZZI, 37","67069","base.it"
"08164","40860","base.0816440860","C.R.A. DI SCANNO E VILLALAGO - SCANNO (L'AQUILA)","PIAZZA CELESTINO LUPI, 12","67030","base.it"
"03207","40890","base.0320740890","CAPITALIA, SOCIETA' PER AZIONI","VIA DEL CORSO, 122","67049","base.it"
"03452","40890","base.0345240890","BANCO DI S. SPIRITO","VIA DEL CORSO","67049","base.it"
"08327","40890","base.0832740890","BANCA DI CREDITO COOPERATIVO DI ROMA","S.P. AMITERNINA NORD","67040","base.it"
"03002","40890","base.0300240890","BANCA DI ROMA","VIA DEL CORSO","67049","base.it"
"03135","40890","base.0313540890","UNICREDIT, SOCIETA' PER AZIONI","VIA DEL CORSO, 122","67049","base.it"
"08291","40890","base.0829140890","BANCA DI CREDITO COOPERATIVO VALLE RAIO DI TORNIMPARTE - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA","S.P. AMITERNINA NORD","67040","base.it"
"02008","40890","base.0200840890","UNICREDIT, SOCIETA' PER AZIONI","VIA DEL CORSO, 122","67049","base.it"
"03207","40950","base.0320740950","CAPITALIA, SOCIETA' PER AZIONI","VIA NAZIONALE, 47","84067","base.it"
"03452","40950","base.0345240950","BANCO DI S. SPIRITO","VIA NAZIONALE, 47","84067","base.it"
"03002","40950","base.0300240950","BANCA DI ROMA","VIA NAZIONALE, 47","84067","base.it"
"03135","40950","base.0313540950","UNICREDIT, SOCIETA' PER AZIONI","VIA NAZIONALE, 47","84067","base.it"
"02008","40950","base.0200840950","UNICREDIT, SOCIETA' PER AZIONI","VIA NAZIONALE, 47","84067","base.it"
"08287","41210","base.0828741210","BANCA DI CREDITO COOPERATIVO DEL SAVUTO - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA","SANTO STEFANO DI ROGLIANO","87056","base.it"
"08531","41210","base.0853141210","BANCA DI COSENZA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA","VIA NAZIONALE, 1","87056","base.it"
"08258","41210","base.0825841210","CREDITO COOPERATIVO CENTRO CALABRIA - SOCIETA' COOPERATIVA","VIA NAZIONALE, 1","87056","base.it"
"05424","41330","base.0542441330","BANCA POPOLARE DI BARI","VIA MAGGIO 1648, 32","70022","base.it"
